Property_Index,SalePrice,Investment_Score,Risk_Score,ROI_Potential,Gross_Yield,Estimated_Rent,Recommendation,Recommendation_Reason
0,208500.0,66.2,0,30,9.6,1668.0,CONSIDER,Value-add opportunity with good potential
1,181500.0,65.2,0,20,9.6,1452.0,CONSIDER,Value-add opportunity with good potential
2,223500.0,66.2,0,30,9.6,1788.0,CONSIDER,Value-add opportunity with good potential
3,140000.0,49.2,30,10,9.6,1120.0,AVOID,High risk or poor return potential
4,250000.0,54.2,0,0,9.6,2000.0,HOLD,Monitor for better entry point
5,143000.0,54.2,0,0,9.6,1144.0,HOLD,Monitor for better entry point
6,307000.0,66.2,0,30,9.6,2456.0,CONSIDER,Value-add opportunity with good potential
7,200000.0,55.2,0,0,9.6,1600.0,HOLD,Monitor for better entry point
8,129900.0,49.2,30,10,9.600000000000001,1039.2,AVOID,High risk or poor return potential
9,118000.0,50.2,30,10,9.6,944.0,HOLD,Monitor for better entry point
10,129500.0,58.2,0,10,9.6,1036.0,HOLD,Monitor for better entry point
11,345000.0,66.2,0,30,9.6,2760.0,CONSIDER,Value-add opportunity with good potential
12,144000.0,59.2,0,10,9.6,1152.0,HOLD,Monitor for better entry point
13,279500.0,66.2,0,30,9.6,2236.0,CONSIDER,Value-add opportunity with good potential
14,157000.0,58.2,0,10,9.6,1256.0,HOLD,Monitor for better entry point
15,132000.0,60.2,30,30,9.6,1056.0,CONSIDER,Value-add opportunity with good potential
16,149000.0,70.2,0,35,9.6,1192.0,BUY,Solid investment with good risk-adjusted returns
17,90000.0,58.2,0,10,9.6,720.0,HOLD,Monitor for better entry point
18,159000.0,66.2,0,30,9.6,1272.0,CONSIDER,Value-add opportunity with good potential
19,139000.0,59.2,0,10,9.6,1112.0,HOLD,Monitor for better entry point
20,325300.0,66.2,0,30,9.600000000000001,2602.4,CONSIDER,Value-add opportunity with good potential
21,139400.0,59.2,30,30,9.600000000000001,1115.2,HOLD,Monitor for better entry point
22,230000.0,66.2,0,30,9.6,1840.0,CONSIDER,Value-add opportunity with good potential
23,129900.0,59.7,15,20,9.600000000000001,1039.2,HOLD,Monitor for better entry point
24,154000.0,69.2,0,30,9.6,1232.0,CONSIDER,Value-add opportunity with good potential
25,256300.0,66.2,0,30,9.600000000000001,2050.4,CONSIDER,Value-add opportunity with good potential
26,134800.0,68.2,0,30,9.6,1078.4,CONSIDER,Value-add opportunity with good potential
27,306000.0,66.2,0,30,9.6,2448.0,CONSIDER,Value-add opportunity with good potential
28,207500.0,65.2,0,25,9.6,1660.0,CONSIDER,Value-add opportunity with good potential
29,68500.0,50.2,30,10,9.6,548.0,HOLD,Monitor for better entry point
30,40000.0,42.2,50,10,9.6,320.0,AVOID,High risk or poor return potential
31,149350.0,65.2,0,25,9.6,1194.8,CONSIDER,Value-add opportunity with good potential
32,179900.0,66.2,0,30,9.6,1439.2,CONSIDER,Value-add opportunity with good potential
33,165500.0,58.2,0,10,9.6,1324.0,HOLD,Monitor for better entry point
34,277500.0,66.2,0,30,9.6,2220.0,CONSIDER,Value-add opportunity with good potential
35,309000.0,66.2,0,30,9.6,2472.0,CONSIDER,Value-add opportunity with good potential
36,145000.0,54.2,0,0,9.6,1160.0,HOLD,Monitor for better entry point
37,153000.0,59.2,0,10,9.6,1224.0,HOLD,Monitor for better entry point
38,109000.0,68.2,0,30,9.6,872.0,CONSIDER,Value-add opportunity with good potential
39,82000.0,58.2,0,10,9.6,656.0,HOLD,Monitor for better entry point
40,160000.0,58.2,0,10,9.6,1280.0,HOLD,Monitor for better entry point
41,170000.0,59.2,0,10,9.6,1360.0,HOLD,Monitor for better entry point
42,144000.0,70.2,0,35,9.6,1152.0,BUY,Solid investment with good risk-adjusted returns
43,130250.0,61.2,0,15,9.6,1042.0,CONSIDER,Value-add opportunity with good potential
44,141000.0,59.2,0,10,9.6,1128.0,HOLD,Monitor for better entry point
