MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,SalePrice,TotalBsmtSF_bin,YearBuilt_bin,YearRemodAdd_bin,LotArea_bin,BsmtFinSF2_bin,Decade,PropertyAge,AgeGroup,LogSalePrice,IsRenovated,IsCulDeSac
60,RL,8450,Inside,1Fam,5,2003,2003,VinylSd,0.0,856.0,208500.0,Low,High,High,Low,Very Low,2000,17,Recent (10-20),12.24769911637256,0,0
20,RL,9600,FR2,1Fam,8,1976,1976,MetalSd,0.0,1262.0,181500.0,High,Medium,Low,Medium,Very Low,1970,44,Established (20-50),12.109016442313738,0,0
60,RL,11250,Inside,1Fam,5,2001,2002,VinylSd,0.0,920.0,223500.0,Medium,High,High,High,Very Low,2000,19,Recent (10-20),12.317171167298682,1,0
70,RL,9550,Corner,1Fam,5,1915,1970,Wd Sdng,0.0,756.0,140000.0,Low,Very Low,Low,Medium,Very Low,1910,105,Historic (100+),11.849404844423074,1,0
60,RL,14260,FR2,1Fam,5,2000,2000,VinylSd,0.0,1145.0,250000.0,High,High,High,Very High,Very Low,2000,20,Recent (10-20),12.429220196836383,0,0
50,RL,14115,Inside,1Fam,5,1993,1995,VinylSd,0.0,796.0,143000.0,Low,High,Medium,Very High,Very Low,1990,27,Established (20-50),11.870606902224587,1,0
20,RL,10084,Inside,1Fam,5,2004,2005,VinylSd,0.0,1686.0,307000.0,Very High,Very High,High,Medium,Very Low,2000,16,Recent (10-20),12.634606283893019,1,0
60,RL,10382,Corner,1Fam,6,1973,1973,HdBoard,32.0,1107.0,200000.0,High,Medium,Low,High,Very Low,1970,47,Established (20-50),12.206077645517674,0,0
50,RM,6120,Inside,1Fam,5,1931,1950,BrkFace,0.0,952.0,129900.0,Medium,Very Low,Very Low,Very Low,Very Low,1930,89,Mature (50-100),11.774527900858468,1,0
190,RL,7420,Corner,2fmCon,6,1939,1950,MetalSd,0.0,991.0,118000.0,Medium,Very Low,Very Low,Low,Very Low,1930,81,Mature (50-100),11.678448377988165,1,0
20,RL,11200,Inside,1Fam,5,1965,1965,HdBoard,0.0,1040.0,129500.0,Medium,Low,Low,High,Very Low,1960,55,Mature (50-100),11.771443882099637,0,0
60,RL,11924,Inside,1Fam,5,2005,2006,WdShing,0.0,1175.0,345000.0,High,Very High,Very High,High,Very Low,2000,15,Recent (10-20),12.75130259456002,1,0
20,RL,12968,Inside,1Fam,6,1962,1962,HdBoard,0.0,912.0,144000.0,Medium,Low,Low,Very High,Very Low,1960,58,Mature (50-100),11.87757552297847,0,0
20,RL,10652,Inside,1Fam,5,2006,2007,VinylSd,0.0,1494.0,279500.0,Very High,Very High,Very High,High,Very Low,2000,14,Recent (10-20),12.540761149388421,1,0
20,RL,10920,Corner,1Fam,5,1960,1960,MetalSd,0.0,1253.0,157000.0,High,Low,Very Low,High,Very Low,1960,60,Mature (50-100),11.964007453736912,0,0
45,RM,6120,Corner,1Fam,8,1929,2001,Wd Sdng,0.0,832.0,132000.0,Low,Very Low,High,Very Low,Very Low,1920,91,Mature (50-100),11.790564777297387,1,0
20,RL,11241,CulDSac,1Fam,7,1970,1970,Wd Sdng,0.0,1004.0,149000.0,Medium,Medium,Low,High,Very Low,1970,50,Established (20-50),11.91170829631447,0,1
90,RL,10791,Inside,Duplex,5,1967,1967,MetalSd,0.0,0.0,90000.0,Very Low,Medium,Low,High,Very Low,1960,53,Mature (50-100),11.407576060361786,0,0
20,RL,13695,Inside,1Fam,5,2004,2004,VinylSd,0.0,1114.0,159000.0,High,Very High,High,Very High,Very Low,2000,16,Recent (10-20),11.976665770490767,0,0
20,RL,7560,Inside,1Fam,6,1958,1965,BrkFace,0.0,1029.0,139000.0,Medium,Low,Low,Low,Very Low,1950,62,Mature (50-100),11.842236406331555,1,0
60,RL,14215,Corner,1Fam,5,2005,2006,VinylSd,0.0,1158.0,325300.0,High,Very High,Very High,Very High,Very Low,2000,15,Recent (10-20),12.692506186542177,1,0
45,RM,7449,Inside,1Fam,7,1930,1950,Wd Sdng,0.0,637.0,139400.0,Very Low,Very Low,Very Low,Low,Very Low,1930,90,Mature (50-100),11.845109950883979,1,0
20,RL,9742,Inside,1Fam,5,2002,2002,VinylSd,0.0,1777.0,230000.0,Very High,High,High,Medium,Very Low,2000,18,Recent (10-20),12.345838935721968,0,0
120,RM,4224,Inside,TwnhsE,7,1976,1976,CemntBd,0.0,1040.0,129900.0,Medium,Medium,Low,Very Low,Very Low,1970,44,Established (20-50),11.774527900858468,0,0
20,RL,8246,Inside,1Fam,8,1968,2001,Plywood,668.0,1060.0,154000.0,Medium,Medium,High,Low,Very Low,1960,52,Mature (50-100),11.944714374881176,1,0
20,RL,14230,Corner,1Fam,5,2007,2007,VinylSd,0.0,1566.0,256300.0,Very High,Very High,Very High,Very High,Very Low,2000,13,Recent (10-20),12.454107814022272,0,0
20,RL,7200,Corner,1Fam,7,1951,2000,Wd Sdng,486.0,900.0,134800.0,Low,Low,High,Low,Very Low,1950,69,Mature (50-100),11.811554895830454,1,0
20,RL,11478,Inside,1Fam,5,2007,2008,VinylSd,0.0,1704.0,306000.0,Very High,Very High,Very High,High,Very Low,2000,13,Recent (10-20),12.631343648903034,1,0
20,RL,16321,CulDSac,1Fam,6,1957,1997,MetalSd,0.0,1484.0,207500.0,Very High,Low,Medium,Very High,Very Low,1950,63,Mature (50-100),12.242891437918386,1,1
30,RM,6324,Inside,1Fam,6,1927,1950,MetalSd,0.0,520.0,68500.0,Very Low,Very Low,Very Low,Very Low,Very Low,1920,93,Mature (50-100),11.134603622683905,1,0
70,C (all),8500,Inside,1Fam,4,1920,1950,BrkFace,0.0,649.0,40000.0,Very Low,Very Low,Very Low,Low,Very Low,1920,100,Mature (50-100),10.596659732783579,1,0
